id,agem,agefem,agediff,ageratio,sex,camp,hh,capitalm,capitalfem,capitaldiff,capitalratio,leisurem,leisurem_count,leisurefem,leisurefem_count,leisurediff,leisurediff_count,leisurediff_count,leisureratio,leisureratio_count,children,,Apropm,Apropfem,A_countm,A_countfem,num.shown_m,num.shown_fem,prop.sharedm,prop.sharedfem,prop.shared.diff,prop.shared.ratio,Gift.Z.m,Gift.Z.fem,num.live.with.m,num.live.with.fem,camp.N.m,camp.N.fem,prop.live.with.m,prop.live.with.fem,prop.live.with.diff,prop.live.with.ratio,Live.With.Z.m,Live.With.Z.fem
[A741047],30,24,6,1.25,M,Kanaipang,7400,0.430753036,0.942447954,-0.511694918,0.457057638,11.42857143,4,3.03030303,1,8.3982684,3,3,0.790419162,0.8,0,,8.571428571,27.27272727,3,9,12,10,0.333333333,0.4,-0.066666667,0.454545454,0.430753036,0.942447954,1,5,46,46,0.02173913,0.108695652,-0.086956522,0.166666664,-0.885746761,0.409823128
[A74247],46.919969,40.92265572,5.99731328,1.146552397,M,Kanaipang,7401,2.136402763,-0.356469916,2.492872679,-5.993220373,32.14285714,9,34.21052632,13,-2.06766918,-4,-4,0.484419263,0.409090909,3,,32.14285714,15.78947368,9,6,9,13,0.555555556,0.230769231,0.324786325,0.706521739,2.136402763,-0.356469916,1,0,46,46,0.02173913,0,0.02173913,1,-0.885746761,-1.209639233
[A74267],30.222873,29.024711,1.198162,1.041280756,M,Kanaipang,7402,2.05887323,1.070371684,0.988501546,1.923512422,6.451612903,2,28.125,9,-21.6733871,-7,-7,0.186588921,0.181818182,5,,12.90322581,9.375,4,3,11,12,0.545454545,0.416666667,0.128787878,0.566929133,2.05887323,1.070371684,8,12,46,46,0.173913043,0.260869565,-0.086956522,0.4,1.381500545,2.677070435
[A74294],31.438473,37,-5.561527,0.849688459,M,Kanaipang,7404,1.709990332,-0.592636801,2.302627133,-2.88539343,4.761904762,1,25.92592593,7,-21.16402117,-6,-6,0.155172414,0.125,4,,14.28571429,14.81481481,3,4,8,5,0.5,0.2,0.3,0.714285714,1.709990332,-0.592636801,6,4,46,46,0.130434783,0.086956522,0.043478261,0.6,0.733715601,0.085930656
[A74235],43.211687,37.072435,6.139252,1.165601531,M,Kanaipang,7405,-0.422071828,0.174905577,-0.596977405,-2.413141052,48.48484848,16,22.85714286,8,25.62770562,8,8,0.67961165,0.666666667,4,,36.36363636,54.28571429,12,19,9,10,0.222222222,0.3,-0.077777778,0.425531915,-0.422071828,0.174905577,9,4,46,46,0.195652174,0.086956522,0.108695652,0.692307692,1.705393018,0.085930656
[A74245],26.634353,20,6.634353,1.33171765,M,Kanaipang,7405,1.161745776,-0.422071828,1.583817604,-2.75248358,12.90322581,4,21.21212121,7,-8.3088954,-3,-3,0.378223496,0.363636364,1,,22.58064516,48.48484848,7,16,7,9,0.428571429,0.222222222,0.206349207,0.658536586,1.161745776,-0.422071828,3,2,46,46,0.065217391,0.043478261,0.02173913,0.599999998,-0.237961816,-0.561854289
[A74286],77.334863,68.90559,8.429273,1.122330757,M,Kanaipang,7406,-1.031232445,-0.732189961,-0.299042484,1.408421994,57.89473684,11,38.88888889,7,19.00584795,4,4,0.598187311,0.611111111,0,,36.84210526,22.22222222,7,4,7,11,0.142857143,0.181818182,-0.038961039,0.44,-1.031232445,-0.732189961,3,1,46,46,0.065217391,0.02173913,0.043478261,0.750000003,-0.237961816,-0.885746761
[A74277],35.023133,27.309277,7.713856,1.282462842,M,Kanaipang,7409,-0.208865612,0.174905577,-0.383771189,-1.194162105,44.44444444,16,61.11111111,22,-16.66666667,-6,-6,0.421052632,0.421052632,3,,13.88888889,25,5,9,7,11,0.142857143,0.181818182,-0.038961039,0.44,-1.031232445,-0.732189961,3,1,46,46,0.065217391,0.02173913,0.043478261,0.750000003,-0.237961816,-0.885746761
[A74252],55.926106,51.426421,4.499685,1.087497534,M,Kanaipang,7412,1.709990332,-0.422071828,2.13206216,-4.051420205,27.77777778,10,36.36363636,12,-8.58585858,-2,-2,0.433070866,0.454545455,3,,16.66666667,54.54545455,6,18,8,9,0.5,0.222222222,0.277777778,0.692307693,1.709990332,-0.422071828,7,2,46,46,0.152173913,0.043478261,0.108695652,0.777777777,1.057608073,-0.561854289
[A74265],49.139992,38.137595,11.002397,1.288492156,M,Kanaipang,7416,-1.031232445,-1.168293584,0.137061139,0.882682623,27.77777778,10,18.18181818,6,9.5959596,4,4,0.604395604,0.625,5,,25,24.24242424,9,8,7,8,0.142857143,0.125,0.017857143,0.533333334,-1.031232445,-1.168293584,1,1,46,46,0.02173913,0.02173913,0,0.5,-0.885746761,-0.885746761
